CHROM	POP	DATASET	Pi	Watterson	Tajima_D
2R	RU_Val_16_19	Europe_SNAPE	0.005050	0.004933	0.098506
2R	RU_Val_16_20	Europe_SNAPE	0.005298	0.005258	0.030740
2R	RU_Val_16_21	Europe_SNAPE	0.004553	0.003707	0.916294
2R	SC_eu_10_spring	North America_SNAPE	0.005811	0.005576	0.167280
2R	SE_Lun_14_30	Europe_SNAPE	0.005331	0.005318	0.010622
2R	SE_Lun_15_14	Europe_SNAPE	0.005329	0.005172	0.123270
2R	SE_Lun_15_15	Europe_SNAPE	0.005134	0.004814	0.265587
2R	TR_Yes_15_3	Europe_SNAPE	0.005163	0.004989	0.142108
2R	TR_Yes_15_4	Europe_SNAPE	0.005145	0.005003	0.143084
2R	TR_Yes_15_5	Europe_SNAPE	0.005159	0.005069	0.069793
2R	TR_Yes_15_6	Europe_SNAPE	0.005144	0.004963	0.144703
2R	TR_Yes_15_7	Europe_SNAPE	0.005759	0.005849	-0.173522
2R	TR_Yes_15_8	Europe_SNAPE	0.005195	0.005150	0.033872
2R	TR_Yes_16_39	Europe_SNAPE	0.005165	0.005167	-0.001598
2R	TR_Yes_16_40	Europe_SNAPE	0.005153	0.005179	-0.021377
2R	TR_Yes_16_41	Europe_SNAPE	0.005214	0.005305	-0.070724
2R	TR_Yes_16_42	Europe_SNAPE	0.005145	0.005130	0.012350
2R	TR_Yes_16_43	Europe_SNAPE	0.005158	0.005186	-0.022379
2R	TR_Yes_16_52	Europe_SNAPE	0.005102	0.005053	0.044995
2R	UA_Che_14_28	Europe_SNAPE	0.005169	0.005070	0.083937
2R	UA_Che_14_29	Europe_SNAPE	0.005290	0.005212	0.065654
2R	UA_Cho_15_24	Europe_SNAPE	0.005098	0.004988	0.095252
2R	UA_Cho_15_25	Europe_SNAPE	0.004398	0.003102	1.692656
2R	UA_Cho_15_26	Europe_SNAPE	0.005416	0.005353	0.050819
2R	UA_Cho_15_27	Europe_SNAPE	0.005149	0.004957	0.156231
2R	UA_Cho_15_65	Europe_SNAPE	0.005260	0.005275	-0.012184
2R	UA_Cho_15_67	Europe_SNAPE	0.005215	0.005233	-0.014165
2R	UA_Cho_15_68	Europe_SNAPE	0.005187	0.005214	-0.021624
2R	UA_Cho_15_69	Europe_SNAPE	0.005220	0.005250	-0.024523
2R	UA_Cho_15_70	Europe_SNAPE	0.005248	0.005264	-0.012806
2R	UA_Cho_16_54	Europe_SNAPE	0.005417	0.005376	0.032604
2R	UA_Cho_16_55	Europe_SNAPE	0.005414	0.005365	0.037006
2R	UA_Cho_16_62	Europe_SNAPE	0.005330	0.005364	-0.027387
2R	UA_Dro_14_27	Europe_SNAPE	0.005109	0.005005	0.089406
2R	UA_Dro_15_10	Europe_SNAPE	0.005012	0.004865	0.120656
2R	UA_Dro_16_56	Europe_SNAPE	0.005139	0.005074	0.056815
2R	UA_Kan_16_57	Europe_SNAPE	0.005053	0.005011	0.035038
2R	UA_Kha_15_19	Europe_SNAPE	0.005322	0.005218	0.078961
2R	UA_Kha_16_58	Europe_SNAPE	0.005039	0.004998	0.035314
2R	UA_Kyi_14_23	Europe_SNAPE	0.005315	0.005235	0.069748
2R	UA_Kyi_14_24	Europe_SNAPE	0.005191	0.005098	0.086164
2R	UA_Kyi_15_64	Europe_SNAPE	0.005472	0.005394	0.059858
2R	UA_Kyi_16_44	Europe_SNAPE	0.005273	0.005280	-0.005669
2R	UA_Kyi_16_45	Europe_SNAPE	0.005370	0.005398	-0.023515
2R	UA_Kyi_16_59	Europe_SNAPE	0.005310	0.005309	0.000553
2R	UA_od_13_fall	Europe_SNAPE	0.005359	0.005448	-0.068035
2R	UA_od_13_spring	Europe_SNAPE	0.005408	0.005587	-0.139167
2R	UA_Ode_14_19	Europe_SNAPE	0.005273	0.005134	0.116516
2R	UA_Ode_14_20	Europe_SNAPE	0.005194	0.005066	0.116105
2R	UA_Ode_14_21	Europe_SNAPE	0.005127	0.005022	0.094004
2R	UA_Ode_14_22	Europe_SNAPE	0.005351	0.005222	0.110621
2R	UA_Ode_15_11	Europe_SNAPE	0.005411	0.005486	-0.060496
2R	UA_Ode_15_20	Europe_SNAPE	0.005103	0.005081	0.017093
2R	UA_Ode_15_22	Europe_SNAPE	0.005143	0.005077	0.053982
2R	UA_Ode_15_66	Europe_SNAPE	0.005024	0.004976	0.042059
2R	UA_Ode_16_46	Europe_SNAPE	0.005086	0.005137	-0.045562
2R	UA_Ode_16_47	Europe_SNAPE	0.005030	0.005023	0.005783
2R	UA_Pir_16_48	Europe_SNAPE	0.004984	0.004943	0.039804
2R	UA_Pyr_14_26	Europe_SNAPE	0.005124	0.005043	0.068008
2R	UA_Pyr_15_21	Europe_SNAPE	0.005168	0.005071	0.079649
2R	UA_Pyr_16_49	Europe_SNAPE	0.005277	0.005298	-0.016042
2R	UA_Uma_15_9	Europe_SNAPE	0.004972	0.004819	0.128210
2R	UA_Uma_16_50	Europe_SNAPE	0.005267	0.005176	0.083155
2R	UA_Uma_16_51	Europe_SNAPE	0.005454	0.005311	0.123425
2R	UA_Var_14_25	Europe_SNAPE	0.005273	0.005117	0.132443
2R	UA_Var_15_18	Europe_SNAPE	0.005057	0.004881	0.150165
2R	UA_Var_16_60	Europe_SNAPE	0.005039	0.004999	0.035398
2R	UA_Yal_14_16	Europe_SNAPE	0.004920	0.004638	0.249634
2R	UA_Yal_14_18	Europe_SNAPE	0.004990	0.004767	0.196392
2R	UA_Yal_15_23	Europe_SNAPE	0.005131	0.004996	0.140100
2R	UA_Yal_15_63	Europe_SNAPE	0.005021	0.004965	0.048155
2R	UA_Yal_16_61	Europe_SNAPE	0.004888	0.004745	0.131068
2R	UK_Dai_15_52	Europe_SNAPE	0.005021	0.004311	0.657496
2R	UK_Dai_16_23	Europe_SNAPE	0.005152	0.005135	0.013598
2R	UK_Lut_14_13	Europe_SNAPE	0.005293	0.005215	0.062171
2R	UK_Mar_14_12	Europe_SNAPE	0.005255	0.005070	0.145625
2R	UK_Mar_15_42	Europe_SNAPE	0.005278	0.005174	0.081534
2R	UK_Mar_16_53	Europe_SNAPE	0.005330	0.005467	-0.101395
2R	UK_She_14_09	Europe_SNAPE	0.006848	0.007237	-0.704129
2R	UK_She_15_17	Europe_SNAPE	0.005221	0.004794	0.353758
2R	VA_ch_12_fall	North America_SNAPE	0.005846	0.005988	-0.119679
2R	VA_ch_12_spring	North America_SNAPE	0.005765	0.005682	0.060268
2R	VA_ch_14_fall	North America_SNAPE	0.005754	0.005681	0.051858
2R	VA_ch_14_spring	North America_SNAPE	0.005765	0.005717	0.034489
2R	VA_ch_15_fall	North America_SNAPE	0.005723	0.005628	0.066572
2R	VA_ch_15_spring	North America_SNAPE	0.005690	0.005634	0.039820
2R	WA_se_14_spring	North America_SNAPE	0.005612	0.005689	-0.048184
2R	WI_cp_12_fall	North America_SNAPE	0.005710	0.005778	-0.054216
2R	WI_cp_12_frost	North America_SNAPE	0.005766	0.005854	-0.070017
2R	WI_cp_12_spring	North America_SNAPE	0.005615	0.005587	0.036128
2R	WI_cp_13_fall	North America_SNAPE	0.005850	0.005946	-0.069221
2R	WI_cp_13_spring	North America_SNAPE	0.005926	0.006299	-0.210549
2R	WI_cp_14_fall	North America_SNAPE	0.005783	0.005887	-0.066439
2R	WI_cp_14_spring	North America_SNAPE	0.005759	0.005377	0.276670
3L	AT_gr_12_fall	Europe_SNAPE	0.005055	0.005026	0.026433
3L	AT_gr_12_spring	Europe_SNAPE	0.005230	0.005229	0.001663
3L	AT_Mau_15_50	Europe_SNAPE	0.005181	0.005107	0.056833
3L	AT_Mau_15_51	Europe_SNAPE	0.005179	0.005071	0.085392
3L	AT_See_16_1	Europe_SNAPE	0.005412	0.005586	-0.129212
3L	BY_Bre_15_13	Europe_SNAPE	0.005153	0.004948	0.171979
3L	CA_es_12_fall	North America_SNAPE	0.005592	0.005675	-0.065741
3L	CA_es_12_frost	North America_SNAPE	0.005759	0.005837	-0.061664
3L	CA_es_12_spring	North America_SNAPE	0.005696	0.005829	-0.097162
3L	CA_es_13_fall	North America_SNAPE	0.005773	0.005892	-0.084971
3L	CA_es_13_spring	North America_SNAPE	0.005657	0.005748	-0.068279
3L	CA_pl_12_fall	North America_SNAPE	0.005560	0.005569	-0.006362
3L	CA_pl_12_frost	North America_SNAPE	0.005726	0.005802	-0.059384
3L	CA_pl_13_fall	North America_SNAPE	0.005766	0.005853	-0.062399
3L	CA_pl_13_frost	North America_SNAPE	0.005707	0.005804	-0.071564
3L	CA_st_12_fall	North America_SNAPE	0.005590	0.005720	-0.106773
3L	CA_st_12_frost	North America_SNAPE	0.005667	0.005796	-0.102615
3L	CA_st_13_fall	North America_SNAPE	0.005754	0.005855	-0.072034
3L	CA_tu_12_fall	North America_SNAPE	0.005639	0.005783	-0.116267
3L	CA_tu_12_frost	North America_SNAPE	0.005699	0.005769	-0.048580
3L	CA_tu_13_fall	North America_SNAPE	0.005722	0.005758	-0.024561
3L	CA_tu_13_frost	North America_SNAPE	0.005733	0.005826	-0.070808
3L	CA_tu_13_spring	North America_SNAPE	0.005577	0.005659	-0.062612
3L	CH_Cha_14_42	Europe_SNAPE	0.005594	0.005698	-0.083778
3L	CH_Cha_15_39	Europe_SNAPE	0.005479	0.005363	0.095575
3L	CH_Cha_16_38	Europe_SNAPE	0.005393	0.005484	-0.074160
3L	CY_Nic_14_11	Europe_SNAPE	0.005789	0.005611	0.128708
3L	DE_Bro_14_14	Europe_SNAPE	0.005228	0.004836	0.330870
3L	DE_Bro_14_15	Europe_SNAPE	0.005378	0.005377	0.001265
3L	DE_Bro_15_53	Europe_SNAPE	0.005401	0.005481	-0.059931
3L	DE_Bro_15_54	Europe_SNAPE	0.005491	0.005696	-0.144872
3L	DE_Bro_16_10	Europe_SNAPE	0.005332	0.005427	-0.074415
3L	DE_Bro_16_11	Europe_SNAPE	0.005350	0.005511	-0.122544
3L	DE_Mun_14_31	Europe_SNAPE	0.005397	0.005314	0.071007
3L	DE_Mun_14_32	Europe_SNAPE	0.005877	0.006198	-0.242668
3L	DE_Mun_15_45	Europe_SNAPE	0.005520	0.005599	-0.059898
3L	DE_Mun_15_46	Europe_SNAPE	0.005469	0.005470	-0.001101
3L	DE_Mun_16_12	Europe_SNAPE	0.005331	0.005290	0.032855
3L	DE_Mun_16_13	Europe_SNAPE	0.005480	0.005681	-0.147808
3L	DK_Kar_14_39	Europe_SNAPE	0.005648	0.005781	-0.105894
3L	DK_Kar_14_41	Europe_SNAPE	0.005681	0.005846	-0.137931
3L	DK_Kar_16_2	Europe_SNAPE	0.004655	0.003992	0.677064
3L	DK_Kar_16_3	Europe_SNAPE	0.004933	0.004535	0.364660
3L	DK_Kar_16_4	Europe_SNAPE	0.004958	0.004525	0.386363
3L	ES_ba_12_fall	Europe_SNAPE	0.005552	0.005813	-0.186052
3L	ES_ba_12_spring	Europe_SNAPE	0.005495	0.005597	-0.098650
3L	ES_Ben_16_32	Europe_SNAPE	0.005465	0.005623	-0.127331
3L	ES_Cor_15_33	Europe_SNAPE	0.005838	0.005917	-0.060293
3L	ES_Gim_14_34	Europe_SNAPE	0.005873	0.006208	-0.258220
3L	ES_Gim_14_35	Europe_SNAPE	0.005529	0.005527	0.001614
3L	ES_Gim_15_30	Europe_SNAPE	0.005481	0.005214	0.215438
3L	ES_Gim_15_31	Europe_SNAPE	0.005568	0.005690	-0.099208
3L	ES_Gim_16_33	Europe_SNAPE	0.005965	0.006145	-0.197161
3L	ES_Gim_16_34	Europe_SNAPE	0.005474	0.005522	-0.037999
3L	ES_Gua_15_32	Europe_SNAPE	0.005563	0.005705	-0.109489
3L	ES_Pur_16_35	Europe_SNAPE	0.005613	0.005936	-0.251610
3L	ES_Tom_15_28	Europe_SNAPE	0.005533	0.005651	-0.100342
3L	ES_Tom_15_29	Europe_SNAPE	0.005689	0.005883	-0.135242
3L	ES_Tom_16_36	Europe_SNAPE	0.005421	0.005708	-0.208250
3L	ES_Tom_16_37	Europe_SNAPE	0.005485	0.005696	-0.162806
3L	FI_Aka_14_36	Europe_SNAPE	0.005891	0.006152	-0.212203
3L	FI_Aka_14_37	Europe_SNAPE	0.005656	0.005794	-0.114803
3L	FI_Aka_15_34	Europe_SNAPE	0.005590	0.005708	-0.087232
3L	FI_Aka_15_35	Europe_SNAPE	0.005488	0.005417	0.057456
3L	FI_Aka_16_5	Europe_SNAPE	0.005675	0.005847	-0.128812
3L	FI_Aka_16_6	Europe_SNAPE	0.005521	0.005702	-0.131772
3L	FI_Ves_14_38	Europe_SNAPE	0.005542	0.005624	-0.062642
3L	FI_Ves_16_7	Europe_SNAPE	0.005427	0.005506	-0.058332
3L	FL_ho_10_spring	North America_SNAPE	0.006546	0.006489	0.038196
3L	FR_Got_15_47	Europe_SNAPE	0.005123	0.004987	0.116617
3L	FR_Got_15_48	Europe_SNAPE	0.005361	0.005386	-0.021767
3L	FR_Got_15_49	Europe_SNAPE	0.005252	0.005215	0.033021
3L	FR_Got_16_8	Europe_SNAPE	0.005080	0.005008	0.061696
3L	FR_Vil_15_40	Europe_SNAPE	0.005330	0.005391	-0.046675
3L	FR_Vil_15_41	Europe_SNAPE	0.005582	0.005692	-0.079999
3L	FR_Vil_16_9	Europe_SNAPE	0.005470	0.005624	-0.113775
3L	GA_at_14_fall	North America_SNAPE	0.006023	0.006002	0.013394
3L	GA_at_14_spring	North America_SNAPE	0.006008	0.006093	-0.057020
3L	GA_ha_08_spring	North America_SNAPE	0.006254	0.006076	0.113475
3L	HU_Sze_16_14	Europe_SNAPE	0.005067	0.005047	0.017229
3L	IL_ur_15_spring	North America_SNAPE	0.005915	0.005934	-0.012500
3L	IT_Mez_15_43	Europe_SNAPE	0.005678	0.005882	-0.162483
3L	IT_Mez_15_44	Europe_SNAPE	0.006062	0.006256	-0.172287
3L	IT_Tre_16_15	Europe_SNAPE	0.005402	0.005476	-0.067853
3L	KA_to_14_fall	North America_SNAPE	0.005990	0.006099	-0.079698
3L	KA_to_14_spring	North America_SNAPE	0.005946	0.006043	-0.067735
3L	MA_la_12_fall	North America_SNAPE	0.005855	0.005944	-0.069406
3L	MA_la_12_spring	North America_SNAPE	0.005898	0.005965	-0.049777
3L	MA_la_14_fall	North America_SNAPE	0.005922	0.006025	-0.065082
3L	MA_la_14_spring	North America_SNAPE	0.005764	0.005412	0.261584
3L	ME_bo_09_fall.r1	North America_SNAPE	0.006221	0.006485	-0.171532
3L	MI_bh_14_fall	North America_SNAPE	0.005870	0.005810	0.037241
3L	MI_bh_14_spring	North America_SNAPE	0.005872	0.005825	0.030432
3L	NC_ra_03_n	North America_SNAPE	0.006006	0.006079	-0.075121
3L	NY_it_12_fall	North America_SNAPE	0.005882	0.005952	-0.060795
3L	NY_it_12_spring	North America_SNAPE	0.005867	0.005904	-0.026189
3L	ON_su_15_fall	North America_SNAPE	0.005955	0.006011	-0.037419
3L	ON_su_15_spring	North America_SNAPE	0.005628	0.004608	0.767641
3L	PA_li_09_fall	North America_SNAPE	0.005981	0.006036	-0.038706
3L	PA_li_09_spring	North America_SNAPE	0.005907	0.005592	0.200727
3L	PA_li_10_fall	North America_SNAPE	0.006044	0.006039	0.003423
3L	PA_li_10_spring	North America_SNAPE	0.006356	0.006444	-0.073921
3L	PA_li_11_frost	North America_SNAPE	0.006050	0.006129	-0.056532
3L	PA_li_11_spring	North America_SNAPE	0.005982	0.005995	-0.009115
3L	PA_li_12_fall	North America_SNAPE	0.005953	0.006054	-0.097843
3L	PA_li_12_spring	North America_SNAPE	0.005947	0.005978	-0.022645
3L	PA_li_12_sum	North America_SNAPE	0.005970	0.006055	-0.063134
3L	PA_li_13_spring	North America_SNAPE	0.005880	0.005646	0.168598
3L	PA_li_14_fall	North America_SNAPE	0.006022	0.006178	-0.096466
3L	PA_li_14_spring	North America_SNAPE	0.006046	0.006187	-0.099720
3L	PA_li_15_fall	North America_SNAPE	0.006043	0.006036	0.004648
3L	PA_li_15_spring	North America_SNAPE	0.005895	0.005889	0.004026
3L	PA_st_14_fall	North America_SNAPE	0.005989	0.006107	-0.077648
3L	PA_st_14_spring	North America_SNAPE	0.005815	0.005551	0.186432
3L	PA_st_15_spring	North America_SNAPE	0.005904	0.005950	-0.031145
3L	PO_Brz_15_12	Europe_SNAPE	0.005168	0.004996	0.141981
3L	PO_Brz_16_17	Europe_SNAPE	0.005063	0.004929	0.110828
3L	PO_Gda_16_16	Europe_SNAPE	0.005046	0.004785	0.226815
