id	dist.bin	type	V1	V2	lat.V1	long.V1	lat.V2	long.V2	popset	dist
3056	20	PoolSNP	DE_Bro_14_14	UA_Uma_16_51	48.218024	7.819513	48.76	30.17	EW	22.3570572106828
3057	20	PoolSNP	DE_Bro_14_15	UA_Uma_16_51	48.218024	7.819513	48.76	30.17	EW	22.3570572106828
306	0	PoolSNP	AT_See_16_1	PO_Gda_16_16	46.8136889	13.50794792	54.35	18.64	EW	9.11778172297492
3068	20	PoolSNP	DK_Kar_14_39	UA_Uma_16_51	55.945128	10.212586	48.76	30.17	EW	21.21142234608
3073	40	PoolSNP	ES_Gim_15_30	UA_Uma_16_51	41.656416	0.388472	48.76	30.17	EW	30.6169939030572
3077	40	PoolSNP	ES_Tom_16_37	UA_Uma_16_51	39.152529	-3.0616048	48.76	30.17	EW	34.5925289130359
3089	20	PoolSNP	FR_Vil_15_41	UA_Uma_16_51	48.754	2.158	48.76	30.17	EW	28.0120006425817
3096	0	PoolSNP	TR_Yes_15_5	UA_Uma_16_51	40.231444	32.260328	48.76	30.17	EW	8.7809873358706
3097	0	PoolSNP	TR_Yes_15_6	UA_Uma_16_51	40.231444	32.260328	48.76	30.17	EW	8.7809873358706
3098	0	PoolSNP	TR_Yes_15_8	UA_Uma_16_51	40.231444	32.260328	48.76	30.17	EW	8.7809873358706
3099	0	PoolSNP	TR_Yes_16_39	UA_Uma_16_51	40.231444	32.260328	48.76	30.17	EW	8.7809873358706
3100	0	PoolSNP	TR_Yes_16_40	UA_Uma_16_51	40.231444	32.260328	48.76	30.17	EW	8.7809873358706
3101	0	PoolSNP	TR_Yes_16_42	UA_Uma_16_51	40.231444	32.260328	48.76	30.17	EW	8.7809873358706
3103	0	PoolSNP	TR_Yes_16_52	UA_Uma_16_51	40.231444	32.260328	48.76	30.17	EW	8.7809873358706
3104	40	PoolSNP	UK_Dai_15_52	UA_Uma_16_51	56.344534	-2.952766	48.76	30.17	EW	33.9800350719053
3111	40	PoolSNP	UK_She_15_17	UA_Uma_16_51	53.391	-1.521	48.76	30.17	EW	32.0275762742047
3125	20	PoolSNP	DE_Mun_15_45	UA_Var_14_25	48.18	11.61	50.48469444	32.71425	EW	21.2297193698896
3135	40	PoolSNP	ES_Gim_15_31	UA_Var_14_25	41.656416	0.388472	50.48469444	32.71425	EW	33.5096168811202
3138	40	PoolSNP	ES_Tom_16_37	UA_Var_14_25	39.152529	-3.0616048	50.48469444	32.71425	EW	37.5277198911713
3141	20	PoolSNP	FI_Aka_15_34	UA_Var_14_25	61.1	23.52	50.48469444	32.71425	EW	14.0434662813234
3149	40	PoolSNP	FR_Vil_15_40	UA_Var_14_25	48.754	2.158	50.48469444	32.71425	EW	30.6052236931401
315	20	PoolSNP	DE_Bro_16_10	PO_Gda_16_16	48.218024	7.819513	54.35	18.64	EW	12.4372050148635
317	0	PoolSNP	DE_Mun_14_31	PO_Gda_16_16	48.18	11.61	54.35	18.64	EW	9.35359823811137
3183	20	PoolSNP	DE_Bro_16_11	UA_Var_15_18	48.218024	7.819513	50.48469444	32.71425	EW	24.9977143991754
3196	40	PoolSNP	ES_Gim_15_31	UA_Var_15_18	41.656416	0.388472	50.48469444	32.71425	EW	33.5096168811202
3198	40	PoolSNP	ES_Tom_15_28	UA_Var_15_18	39.15805	-3.021	50.48469444	32.71425	EW	37.4873440888079
320	0	PoolSNP	DE_Mun_15_46	PO_Gda_16_16	48.18	11.61	54.35	18.64	EW	9.35359823811137
321	0	PoolSNP	DE_Mun_16_12	PO_Gda_16_16	48.18	11.61	54.35	18.64	EW	9.35359823811137
322	0	PoolSNP	DE_Mun_16_13	PO_Gda_16_16	48.18	11.61	54.35	18.64	EW	9.35359823811137
3227	40	PoolSNP	UK_Dai_16_23	UA_Var_15_18	56.3447	-2.9525	50.48469444	32.71425	EW	36.1449404581849
3229	40	PoolSNP	UK_Mar_14_12	UA_Var_15_18	52.475769	-0.921517	50.48469444	32.71425	EW	33.6946464528383
3230	40	PoolSNP	UK_Mar_15_42	UA_Var_15_18	52.4608	-0.959	50.48469444	32.71425	EW	33.7311837732796
324	0	PoolSNP	DK_Kar_14_41	PO_Gda_16_16	55.945128	10.212586	54.35	18.64	EW	8.57704728119066
3258	40	PoolSNP	ES_Gim_16_34	UA_Var_16_60	41.656416	0.388472	50.48469444	32.71425	EW	33.5096168811202
3262	20	PoolSNP	FI_Aka_14_37	UA_Var_16_60	61.1	23.52	50.48469444	32.71425	EW	14.0434662813234
327	0	PoolSNP	DK_Kar_16_4	PO_Gda_16_16	55.945128	10.212586	54.35	18.64	EW	8.57704728119066
